2Th_lab5
Number of tasks = 32
Only need 2 tasks - extra will be ignored...
task 0 has started...
Beginning latency timing test. Number of reps = 1000.
***************************************************
Rep#       T1               T2            deltaT
  95  1449520449.98057508  1449520449.98060703  0.00003195
  96  1449520449.98061299  1449520449.98064303  0.00003004
  97  1449520449.98064590  1449520449.98067498  0.00002909
  98  1449520449.98067904  1449520449.98070788  0.00002885
  99  1449520449.98071194  1449520449.98074102  0.00002909
 100  1449520449.98074508  1449520449.98077297  0.00002789
 101  1449520449.98077703  1449520449.98080707  0.00003004
 102  1449520449.98081112  1449520449.98083997  0.00002885
 103  1449520449.98084402  1449520449.98087907  0.00003505
 104  1449520449.98088288  1449520449.98091197  0.00002909
 105  1449520449.98091602  1449520449.98094392  0.00002789
 106  1449520449.98094797  1449520449.98097706  0.00002909
 107  1449520449.98098111  1449520449.98100901  0.00002789
 108  1449520449.98101306  1449520449.98104191  0.00002885
 109  1449520449.98104596  1449520449.98107505  0.00002909
 110  1449520449.98107910  1449520449.98110795  0.00002885
 111  1449520449.98111105  1449520449.98113990  0.00002885
 112  1449520449.98114395  1449520449.98117304  0.00002909
 113  1449520449.98117709  1449520449.98120594  0.00002885
 114  1449520449.98120904  1449520449.98123789  0.00002885
 115  1449520449.98124194  1449520449.98127103  0.00002909
 116  1449520449.98127508  1449520449.98130393  0.00002885
 117  1449520449.98130703  1449520449.98133612  0.00002909
 118  1449520449.98133898  1449520449.98136806  0.00002909
 119  1449520449.98137212  1449520449.98140097  0.00002885
 120  1449520449.98140502  1449520449.98143411  0.00002909
 121  1449520449.98143792  1449520449.98146701  0.00002909
 122  1449520449.98147106  1449520449.98149991  0.00002885
 123  1449520449.98150396  1449520449.98153305  0.00002909
 124  1449520449.98157191  1449520449.98160410  0.00003219
 125  1449520449.98161006  1449520449.98163891  0.00002885
 126  1449520449.98164296  1449520449.98167109  0.00002813
 127  1449520449.98167491  1449520449.98170304  0.00002813
 128  1449520449.98170710  1449520449.98173594  0.00002885
 129  1449520449.98174000  1449520449.98176789  0.00002789
 130  1449520449.98177195  1449520449.98180509  0.00003314
 131  1449520449.98180890  1449520449.98183894  0.00003004
 132  1449520449.98184204  1449520449.98187089  0.00002885
 133  1449520449.98187494  1449520449.98190403  0.00002909
 134  1449520449.98190808  1449520449.98193693  0.00002885
 135  1449520449.98194098  1449520449.98197007  0.00002909
 136  1449520449.98197389  1449520449.98200297  0.00002909
 137  1449520449.98200607  1449520449.98203397  0.00002789
 138  1449520449.98203802  1449520449.98206711  0.00002909
 139  1449520449.98207092  1449520449.98209906  0.00002813
 140  1449520449.98210311  1449520449.98213196  0.00002885
 141  1449520449.98213601  1449520449.98216510  0.00002909
 142  1449520449.98216891  1449520449.98219800  0.00002909
 143  1449520449.98220205  1449520449.98223090  0.00002885
 144  1449520449.98223400  1449520449.98226309  0.00002909
 145  1449520449.98226690  1449520449.98229504  0.00002813
 146  1449520449.98229909  1449520449.98232698  0.00002789
 147  1449520449.98233104  1449520449.98235989  0.00002885
 148  1449520449.98236394  1449520449.98239303  0.00002909
 149  1449520449.98239708  1449520449.98242593  0.00002885
 150  1449520449.98242903  1449520449.98245907  0.00003004
 151  1449520449.98246193  1449520449.98249102  0.00002909
 152  1449520449.98249507  1449520449.98252511  0.00003004
 153  1449520449.98252797  1449520449.98257804  0.00005007
 154  1449520449.98258400  1449520449.98261499  0.00003099
 155  1449520449.98261905  1449520449.98264790  0.00002885
